,X1,X2,X3,X4,X5,X6,classe
459,13,60,86,22,28,26,3
460,24,61,75,36,23,24,3
461,16,72,87,31,27,22,3
462,23,60,86,19,15,22,3
463,12,60,74,26,27,35,3
464,17,73,83,35,29,26,3
465,15,60,81,27,15,37,3
466,16,57,75,26,31,21,3
467,19,69,85,18,26,19,3
468,18,66,81,31,19,20,3
469,11,68,76,32,18,19,3
470,26,67,79,25,27,21,3
471,25,60,84,29,23,20,3
472,20,61,85,25,29,34,3
473,10,63,78,31,21,26,3
474,16,73,86,22,27,33,3
475,26,74,79,18,14,30,3
476,27,67,74,20,23,26,3
477,17,68,75,19,16,21,3
478,13,58,72,22,29,21,3
479,13,64,88,22,29,20,3
480,22,70,87,30,18,25,3
481,22,65,75,33,18,30,3
482,9,71,77,34,18,36,3
483,15,64,87,26,26,31,3
484,27,67,75,32,29,31,3
485,25,64,74,21,22,31,3
486,9,68,87,22,28,32,3
487,10,59,87,28,28,34,3
488,9,66,88,19,25,24,3
489,15,65,81,18,21,28,3
490,18,65,73,23,16,19,3
491,19,68,75,34,25,28,3
492,27,60,83,21,28,27,3
493,20,63,80,20,14,24,3
